Step,height (mm),Frequency (GHz),Q,Loss (dB),,mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-250,-1.5325,4.296759375,6649.2,-10.241,,0.00613,None,Rexolite,8.85,NaN,41.5,41.5,0,304.8,58.16,29.08,1.675,9,59.1463
0,0,4.296703125,6646.2,-10.248,,,,,,,,,,,,,,,
250,1.5325,4.296409375,6634.2,-10.271,,,,,,,,,,,,,,,
500,3.065,4.295609375,6607.1,-10.31,,,,,,,,,,,,,,,
750,4.5975,4.294359375,6577.7,-10.367,,,,,,,,,,,,,,,
1000,6.13,4.29276875,6542.6,-10.425,,,,,,,,,,,,,,,
1250,7.6625,4.29090625,6514.3,-10.487,,,,,,,,,,,,,,,
1500,9.195,4.288921875,6484.7,-10.554,,,,,,,,,,,,,,,
1750,10.7275,4.286771875,6454,-10.614,,,,,,,,,,,,,,,
2000,12.26,4.284546875,6430.6,-10.674,,,,,,,,,,,,,,,
2250,13.7925,4.282246875,6404.9,-10.735,,,,,,,,,,,,,,,
2500,15.325,4.279953125,6382.9,-10.794,,,,,,,,,,,,,,,
2750,16.8575,4.277596875,6359.1,-10.85,,,,,,,,,,,,,,,
3000,18.39,4.275221875,6336.7,-10.906,,,,,,,,,,,,,,,
3250,19.9225,4.2728375,6307.9,-10.964,,,,,,,,,,,,,,,
3500,21.455,4.27046875,6282.9,-11.015,,,,,,,,,,,,,,,
3750,22.9875,4.2680875,6255.6,-11.071,,,,,,,,,,,,,,,
4000,24.52,4.26561875,6225.3,-11.129,,,,,,,,,,,,,,,
4250,26.0525,4.263109375,6192.8,-11.186,,,,,,,,,,,,,,,
4500,27.585,4.260421875,6161.7,-11.241,,,,,,,,,,,,,,,
4750,29.1175,4.25735,6122.7,-11.314,,,,,,,,,,,,,,,
5000,30.65,4.253825,6088.2,-11.382,,,,,,,,,,,,,,,
