Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-400,-2.452,4.296759375,6635.7,-10.233,0.00613,None,KelF,9.01,9.01,34.88,34.88,0,304.8,58.16,29.08,1.675,7,61.2177
-200,-1.226,4.2967375,6627.4,-10.243,,,,,,,,,,,,,,
0,0,4.296640625,6612,-10.271,,,,,,,,,,,,,,
200,1.226,4.29635625,6572.5,-10.325,,,,,,,,,,,,,,
400,2.452,4.295734375,6487.1,-10.445,,,,,,,,,,,,,,
600,3.678,4.294846875,6361.4,-10.625,,,,,,,,,,,,,,
800,4.904,4.293740625,6201.8,-10.85,,,,,,,,,,,,,,
1000,6.13,4.292465625,6024.6,-11.12,,,,,,,,,,,,,,
1200,7.356,4.291053125,5837.5,-11.421,,,,,,,,,,,,,,
1400,8.582,4.289553438,5637.7,-11.739,,,,,,,,,,,,,,
1600,9.808,4.288040625,5452.1,-12.044,,,,,,,,,,,,,,
1800,11.034,4.286421875,5263.7,-12.376,,,,,,,,,,,,,,
2000,12.26,4.284759375,5079.9,-12.707,,,,,,,,,,,,,,
2200,13.486,4.283084375,4908.3,-13.034,,,,,,,,,,,,,,
2400,14.712,4.2813875,4741.2,-13.357,,,,,,,,,,,,,,
2600,15.938,4.279684375,4588.1,-13.666,,,,,,,,,,,,,,
2800,17.164,4.27800625,4443.5,-23.965,,,,,,,,,,,,,,
3000,18.39,4.276265625,4304.2,-14.265,,,,,,,,,,,,,,
3200,19.616,4.274534375,4174.4,-14.549,,,,,,,,,,,,,,
3400,20.842,4.272834375,4053.5,-14.825,,,,,,,,,,,,,,
3600,22.068,4.2711125,3938.7,-15.097,,,,,,,,,,,,,,
3800,23.294,4.26936875,3827.2,-15.355,,,,,,,,,,,,,,
4000,24.52,4.2675875,3718.9,-15.617,,,,,,,,,,,,,,
