Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg)
-250,-1.5325,5.11726875,5742.2,-9.3413,0.00613,Rexolite,63501.5,9.1,9.1,34.89,34.89,6.92,304.8,58.16,29.08,1.675,9,24.531,61.3379,36.3477,1528.9
0,0,5.117234375,5731.5,-9.362,,,,,,,,,,,,,,,,,
250,1.5325,5.11703125,5711.7,-9.3939,,,,,,,,,,,,,,,,,
500,3.065,5.116303125,5670.1,-9.4598,,,,,,,,,,,,,,,,,
750,4.5975,5.11483125,5596.6,-9.583,,,,,,,,,,,,,,,,,
1000,6.13,5.11268125,5493.4,-9.7553,,,,,,,,,,,,,,,,,
1250,7.6625,5.109884375,5365.6,-9.9726,,,,,,,,,,,,,,,,,
1500,9.195,5.106653125,5231.9,-10.217,,,,,,,,,,,,,,,,,
1750,10.7275,5.103059375,5091.2,-10.488,,,,,,,,,,,,,,,,,
2000,12.26,5.09924375,4955.7,-10.751,,,,,,,,,,,,,,,,,
2250,13.7925,5.095275,4831.2,-11,,,,,,,,,,,,,,,,,
2500,15.325,5.091290625,4706.9,-11.251,,,,,,,,,,,,,,,,,
2750,16.8575,5.087325,4605.9,-11.474,,,,,,,,,,,,,,,,,
3000,18.39,5.083328125,4503.5,-11.68,,,,,,,,,,,,,,,,,
3250,19.9225,5.07936875,4423.3,-11.862,,,,,,,,,,,,,,,,,
3500,21.455,5.0754375,4346.5,-12.034,,,,,,,,,,,,,,,,,
3750,22.9875,5.07154375,4278.9,-12.184,,,,,,,,,,,,,,,,,
4000,24.52,5.067596875,4223.1,-12.319,,,,,,,,,,,,,,,,,
4250,26.0525,5.063703125,4175.1,-12.435,,,,,,,,,,,,,,,,,
4500,27.585,5.059915625,4134,-12.531,,,,,,,,,,,,,,,,,
4750,29.1175,5.056046875,4093.6,-12.636,,,,,,,,,,,,,,,,,
5000,30.65,5.051109375,4011.8,-12.822,,,,,,,,,,,,,,,,,
