Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff,Comment,DelAeff
-250,-1.5325,3.562540625,7978.7,-14.268,0.00613,None,PET,8.99,8.99,41.65,41.65,0,304.8,58.16,29.08,1.675,5,61.7301,,1.27E-02
0,0,3.562503125,7955.9,-14.295,,,,,,,,,,,,,,,,
250,1.5325,3.5622875,7879.1,-14.374,,,,,,,,,,,,,,,,
500,3.065,3.561571875,7709.5,-14.567,,,,,,,,,,,,,,,,
750,4.5975,3.560328125,7422.7,-14.913,,,,,,,,,,,,,,,,
1000,6.13,3.558659375,7050.9,-15.369,,,,,,,,,,,,,,,,
1250,7.6625,3.556696875,6647.5,-15.887,,,,,,,,,,,,,,,,
1500,9.195,3.554471875,6241.1,-16.45,,,,,,,,,,,,,,,,
1750,10.7275,3.55213125,5846.8,-17.017,,,,,,,,,,,,,,,,
2000,12.26,3.549646875,5480.1,-17.586,,,,,,,,,,,,,,,,
2250,13.7925,3.547071875,5145,-18.141,,,,,,,,,,,,,,,,
2500,15.325,3.544421875,4838.9,-18.681,,,,,,,,,,,,,,,,
2750,16.8575,3.541753125,4561.7,-19.195,,,,,,,,,,,,,,,,
3000,18.39,3.539046875,4316.7,-19.685,,,,,,,,,,,,,,,,
3250,19.9225,3.53630625,4090.3,-20.167,,,,,,,,,,,,,,,,
3500,21.455,3.5336,3888.1,-20.628,,,,,,,,,,,,,,,,
3750,22.9875,3.5308,3705.4,-21.078,,,,,,,,,,,,,,,,
4000,24.52,3.52799375,3533.1,-21.518,,,,,,,,,,,,,,,,
4250,26.0525,3.525075,3365,-21.975,,,,,,,,,,,,,,,,
4500,27.585,3.5220625,3193.3,-22.451,,,,,,,,,,,,,,,,
4750,29.1175,3.51844375,3016.4,-22.998,,,,,,,,,,,,,,,,
5000,30.65,3.513375,2743.6,-23.874,,,,,,,,,,,,,,,,
