Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample length (mm),Sample OD (mm),Sample Aeff,Aeff,DelAeff_s,DelAeff_h
-400,-2.452,2.974265625,9582.9,-27.081,0.00613,Rexolite,Rexolite,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,3,26.26,6.87,36.6486,62.3888,3.89E-03,1.02E-02
-200,-1.226,2.9742625,9596.6,-27.08,,,,,,,,,,,,,,,,,,,
0,0,2.974215625,9586.5,-27.087,,,,,,,,,,,,,,,,,,,
200,1.226,2.974075,9573.2,-27.094,,,,,,,,,,,,,,,,,,,
400,2.452,2.973696875,9573.8,-27.125,,,,,,,,,,,,,,,,,,,
600,3.678,2.973115625,9559.1,-27.177,,,,,,,,,,,,,,,,,,,
800,4.904,2.972384375,9528,-27.237,,,,,,,,,,,,,,,,,,,
1000,6.13,2.9715,9489.5,-27.31,,,,,,,,,,,,,,,,,,,
1200,7.356,2.970540625,9471.8,-27.385,,,,,,,,,,,,,,,,,,,
1400,8.582,2.969490625,9435.6,-27.47,,,,,,,,,,,,,,,,,,,
1600,9.808,2.968375,9409,-27.572,,,,,,,,,,,,,,,,,,,
1800,11.034,2.9672,9367.8,-27.661,,,,,,,,,,,,,,,,,,,
2000,12.26,2.9659875,9311.5,-27.767,,,,,,,,,,,,,,,,,,,
2200,13.486,2.9647375,9280.4,-27.875,,,,,,,,,,,,,,,,,,,
2400,14.712,2.963490625,9240.7,-27.976,,,,,,,,,,,,,,,,,,,
2600,15.938,2.962196875,9182.6,-28.091,,,,,,,,,,,,,,,,,,,
2800,17.164,2.96088125,9132.9,-28.212,,,,,,,,,,,,,,,,,,,
3000,18.39,2.95955625,9097.6,-28.327,,,,,,,,,,,,,,,,,,,
3200,19.616,2.958221875,9036.3,-28.453,,,,,,,,,,,,,,,,,,,
3400,20.842,2.95688125,8955.2,-28.587,,,,,,,,,,,,,,,,,,,
3600,22.068,2.955546875,8884.8,-28.721,,,,,,,,,,,,,,,,,,,
3800,23.294,2.954175,8789.7,-28.889,,,,,,,,,,,,,,,,,,,
4000,24.52,2.952803125,8681,-29.059,,,,,,,,,,,,,,,,,,,
4200,25.746,2.95141875,8542.5,-29.25,,,,,,,,,,,,,,,,,,,
4400,26.972,2.949975,8396.6,-29.484,,,,,,,,,,,,,,,,,,,
4600,28.198,2.948478125,8168.3,-29.779,,,,,,,,,,,,,,,,,,,
4800,29.424,2.9467875,7903.3,-30.143,,,,,,,,,,,,,,,,,,,
5000,30.65,2.945096875,7967,-30.166,,,,,,,,,,,,,,,,,,,
