Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample_length (mm),Sample OD (mm),Sample Aeff,Aeff,mode,DelAeff_s,DelAeff_h
-400,-2.452,3.562521875,7996,-14.236,0.00613,Rexolite,Teflon,9,9.32,35,32.1,6.92,304.8,58.16,29.08,1.675,5,26.17,6.79,35.6362,61.8637,5,4.76E-03,1.28E-02
-200,-1.226,3.5625125,7989.2,-14.24,,,,,,,,,,,,,,,,,,,,
0,0,3.56246875,7974.7,-14.256,,,,,,,,,,,,,,,,,,,,
200,1.226,3.56235,7962.6,-14.268,,,,,,,,,,,,,,,,,,,,
400,2.452,3.5619875,7944.4,-14.29,,,,,,,,,,,,,,,,,,,,
600,3.678,3.561378125,7915.2,-14.326,,,,,,,,,,,,,,,,,,,,
800,4.904,3.560590625,7889.8,-14.365,,,,,,,,,,,,,,,,,,,,
1000,6.13,3.5597,7858.9,-14.409,,,,,,,,,,,,,,,,,,,,
1200,7.356,3.558709375,7832,-14.449,,,,,,,,,,,,,,,,,,,,
1400,8.582,3.557646875,7801.9,-14.491,,,,,,,,,,,,,,,,,,,,
1600,9.808,3.55655625,7776.1,-14.532,,,,,,,,,,,,,,,,,,,,
1800,11.034,3.555409375,7752.7,-14.573,,,,,,,,,,,,,,,,,,,,
2000,12.26,3.55423125,7722.2,-14.615,,,,,,,,,,,,,,,,,,,,
2200,13.486,3.553015625,7697.6,-14.653,,,,,,,,,,,,,,,,,,,,
2400,14.712,3.551784375,7674.3,-14.694,,,,,,,,,,,,,,,,,,,,
2600,15.938,3.55054375,7648.6,-14.735,,,,,,,,,,,,,,,,,,,,
2800,17.164,3.549284375,7625.1,-14.776,,,,,,,,,,,,,,,,,,,,
3000,18.39,3.5480125,7597.6,-14.817,,,,,,,,,,,,,,,,,,,,
3200,19.616,3.546725,7576.7,-14.855,,,,,,,,,,,,,,,,,,,,
3400,20.842,3.545435375,7549.6,-14.893,,,,,,,,,,,,,,,,,,,,
3600,22.068,3.5441375,7528.1,-14.93,,,,,,,,,,,,,,,,,,,,
3800,23.294,3.54285,7502.4,-14.97,,,,,,,,,,,,,,,,,,,,
4000,24.52,3.541546875,7480.2,-15.014,,,,,,,,,,,,,,,,,,,,
4200,25.746,3.540221875,7445.2,-15.062,,,,,,,,,,,,,,,,,,,,
4400,26.972,3.538890625,7419.3,-15.105,,,,,,,,,,,,,,,,,,,,
4600,28.198,3.537484375,7378.7,-15.163,,,,,,,,,,,,,,,,,,,,
4800,29.424,3.53594375,7350.8,-15.222,,,,,,,,,,,,,,,,,,,,
5000,30.65,3.533965625,7280,-15.321,,,,,,,,,,,,,,,,,,,,
